Name,Preis,Text,Quelle
ASUS Dual Radeon RX9060XT 16G GDDR6 Gaming Grafikkarte (AMD ...,458.71,"458,71 €",amazon.de
ASUS Prime Radeon RX 9070 XT OC Edition 16GB GDDR6 Gaming Gr...,680.56,"680,56 €",amazon.de
ASUS Prime GeForce RTX 5060 8GB GDDR7 OC Edition Gaming Graf...,380.16,"380,16 €",amazon.de
ASUS Dual Radeon RX 7600 EVO OC Edition 8GB GDDR6 Gaming Gra...,265.86,"265,86 €",amazon.de
PNY NVIDIA RTX PRO 4000 SFF Blackwell,2044.64,"2.044,64 €",amazon.de
ASUS Prime Radeon RX 9070 XT OC Edition 16GB GDDR6 Gaming Gr...,680.56,"680,56 €",amazon.de
"Sapphire Technology Pulse AMD Radeon RX 9060 XT Gaming OC, 1...",410.82,"410,82 €",amazon.de
ASUS Turbo Radeon AI PRO 32GB R9700 Workstation Grafikkarte ...,1461.18,"1.461,18 €",amazon.de
"QTHREE Geforce GT 210 1G D3 64-bit Grafikkarte, 1x HDMI, 1x ...",42.35,"42,35 €",amazon.de
MSI GeForce RTX 5060 8G Shadow 2X OC - 8GB GDDR7 (28Gbps/128...,,Kein Preis,amazon.de
ASUS Dual GeForce RTX 3050 OC Edition 6GB GDDR6 Gaming Grafi...,,Kein Preis,amazon.de
Gigabyte GeForce RTX 5080 Gaming OC 16G Grafikkarte - 16GB G...,1400.68,"1.400,68 €",amazon.de
SAPPHIRE PULSE RX 9070 XT GAMING 16GB,694.27,"694,27 €",amazon.de
"Radeon RX 550 Grafikkarte, 4GB, GDDR5, 128-Bit, DisplayPort ...",124.02,"124,02 €",amazon.de
"QTHREE Radeon RX 560 Grafikkarte, 4GB GDDR5 128-bit, HDMI, D...",131.09,"131,09 €",amazon.de
Gigabyte Radeon RX 9060 XT Gaming OC 16G Grafikkarte - 16GB ...,468.68,"468,68 €",amazon.de
Gigabyte GeForce RTX 5060 Eagle OC 8G Grafikkarte - 8GB GDDR...,349.91,"349,91 €",amazon.de
maxsun Grafikkarten AMD Radeon RX 550 Grafikkarte 4GB Graphi...,110.92,"110,92 €",amazon.de
"EVGA GeForce RTX 2060 12GB XC Gaming, 12G-P4-2263-KR, 12GB G...",714.96,"714,96 €",amazon.de
ASUS Dual GeForce RTX 5060 8GB OC Edition GDDR7 Gaming Grafi...,,Kein Preis,amazon.de
MSI GeForce RTX 5060 8G Inspire 2X OC - 8GB GDDR7 (28Gbps/12...,,Kein Preis,amazon.de
ASUS GT730-4H-SL-2GD5 NVIDIA GeForce GT 730 2 GB GDDR5 (GPU ...,86.59,"86,59 €",amazon.de
